state,district,year,iso_week,tmax_mean,tmin_mean,precip_sum,rain_days,dry_days,wind_max_mean,wind_calm_days,et0_sum,n_days
Haryana,Bhiwani,2017,44,30.714285714285715,17.214285714285715,0.0,0,7,10.257142857142856,4,24.62,7
Haryana,Bhiwani,2017,45,28.82857142857143,15.957142857142857,0.0,0,7,9.557142857142859,5,21.31,7
Haryana,Bhiwani,2017,46,25.571428571428573,14.857142857142858,1.8,0,4,14.014285714285714,0,20.25,7
Haryana,Bhiwani,2017,47,24.2,9.299999999999999,0.0,0,7,12.671428571428573,1,22.57,7
Haryana,Bhiwani,2017,48,26.25,9.525,0.0,0,4,12.05,0,11.93,4
Haryana,Bhiwani,2018,35,32.4,26.35,38.800000000000004,1,1,15.7,0,7.199999999999999,2
Haryana,Bhiwani,2018,36,32.81428571428571,25.571428571428573,10.2,5,0,15.9,0,28.05,7
Haryana,Bhiwani,2018,37,34.614285714285714,25.242857142857144,2.8,2,5,17.642857142857142,0,38.21,7
Haryana,Bhiwani,2018,38,34.05714285714286,23.32857142857143,52.800000000000004,2,3,16.571428571428573,0,30.65,7
Haryana,Bhiwani,2018,39,31.557142857142857,21.75714285714286,130.4,1,6,13.942857142857141,2,27.189999999999998,7
Haryana,Bhiwani,2018,40,33.41428571428572,20.67142857142857,0.3,0,6,11.9,2,30.33,7
Haryana,Bhiwani,2018,41,32.285714285714285,18.514285714285712,0.1,0,7,12.057142857142859,0,30.37,7
Haryana,Bhiwani,2018,42,32.81428571428571,18.114285714285714,0.0,0,7,11.428571428571429,2,31.01,7
Haryana,Bhiwani,2018,43,30.957142857142856,16.142857142857142,0.0,0,7,10.514285714285714,1,27.88,7
Haryana,Bhiwani,2018,44,30.32857142857143,16.742857142857144,0.2,0,6,11.585714285714285,2,25.85,7
Haryana,Bhiwani,2018,45,27.342857142857145,11.885714285714286,0.0,0,7,10.828571428571427,2,23.96,7
Haryana,Bhiwani,2018,46,27.428571428571427,14.1,1.3,1,6,13.842857142857142,2,20.93,7
Haryana,Bhiwani,2018,47,27.014285714285712,13.214285714285714,0.0,0,7,13.799999999999999,1,21.73,7
Haryana,Bhiwani,2018,48,26.139999999999997,11.940000000000001,0.0,0,5,10.98,1,13.53,5
Haryana,Faridabad,2012,35,32.1,25.299999999999997,14.0,1,0,8.65,1,7.199999999999999,2
Haryana,Faridabad,2012,36,30.571428571428573,25.25714285714286,27.5,3,1,19.214285714285715,1,24.299999999999997,7
Haryana,Faridabad,2012,37,31.785714285714285,25.400000000000002,36.6,7,0,10.957142857142857,4,23.65,7
Haryana,Faridabad,2012,38,31.314285714285713,22.900000000000002,17.0,3,4,11.457142857142857,2,28.34,7
Haryana,Faridabad,2012,39,32.07142857142857,20.842857142857145,0.0,0,7,12.585714285714285,1,32.91,7
