state,district,year,iso_week,dm_kg,dm_tonnes
Haryana,Faridabad,2014,45,118489.0160356674,118.4890160356674
Haryana,Faridabad,2014,46,269830.22192965826,269.83022192965825
Haryana,Faridabad,2014,47,7791.192411690324,7.791192411690324
Haryana,Faridabad,2014,48,703.931860657038,0.7039318606570379
Haryana,Faridabad,2015,40,1.5571542142935944,0.0015571542142935944
Haryana,Faridabad,2015,41,87.11693812472602,0.08711693812472601
Haryana,Faridabad,2015,42,698.6207003769496,0.6986207003769496
Haryana,Faridabad,2015,43,8034.828876441447,8.034828876441447
Haryana,Faridabad,2015,44,24644.019786482615,24.644019786482616
Haryana,Faridabad,2015,45,48196.830697613324,48.19683069761332
Haryana,Faridabad,2015,46,22424.631044316735,22.424631044316733
Haryana,Faridabad,2015,47,5708.886285959783,5.708886285959783
Haryana,Faridabad,2015,48,1161.4007765787048,1.1614007765787049
Haryana,Faridabad,2015,49,20.181377354029635,0.020181377354029636
Haryana,Faridabad,2016,39,11.804293672139474,0.011804293672139475
Haryana,Faridabad,2016,40,301.72499501762474,0.30172499501762473
Haryana,Faridabad,2016,41,5144.974288738041,5.144974288738041
Haryana,Faridabad,2016,42,25075.161149888838,25.07516114988884
Haryana,Faridabad,2016,43,145013.4381279306,145.01343812793058
Haryana,Faridabad,2016,44,609508.335021051,609.508335021051
Haryana,Faridabad,2016,45,298331.9578291259,298.33195782912594
Haryana,Faridabad,2016,46,176516.78712324283,176.51678712324284
Haryana,Faridabad,2016,47,57959.18972570442,57.95918972570442
Haryana,Faridabad,2016,48,2447.4764790428458,2.447476479042846
Haryana,Faridabad,2017,39,221.37575411194825,0.22137575411194826
Haryana,Faridabad,2017,40,9548.652129027223,9.548652129027223
Haryana,Faridabad,2017,41,26281.892237590782,26.28189223759078
Haryana,Faridabad,2017,42,84469.91437195615,84.46991437195615
Haryana,Faridabad,2017,43,119900.5517922697,119.90055179226971
Haryana,Faridabad,2017,44,148705.33264806305,148.70533264806306
Haryana,Faridabad,2017,45,86254.64022215734,86.25464022215733
Haryana,Faridabad,2017,46,20149.185816444493,20.149185816444493
Haryana,Faridabad,2017,47,3914.325834300173,3.9143258343001732
Haryana,Faridabad,2017,48,1470.5528537297896,1.4705528537297896
Haryana,Faridabad,2018,40,9614.11448503811,9.61411448503811
Haryana,Faridabad,2018,41,51223.35683366658,51.22335683366658
Haryana,Faridabad,2018,42,152487.37602250598,152.48737602250597
Haryana,Faridabad,2018,43,94983.63568390996,94.98363568390997
Haryana,Faridabad,2018,44,60128.04782976083,60.12804782976083
Haryana,Faridabad,2018,45,4350.345361349112,4.350345361349112
Haryana,Faridabad,2018,46,1642.7195700559566,1.6427195700559567
Haryana,Faridabad,2018,47,2165.928987965547,2.1659289879655472
Haryana,Faridabad,2018,48,1242.781618366528,1.242781618366528
Haryana,Fatehabad,2012,40,174151.85420345183,174.15185420345182
Haryana,Fatehabad,2012,41,2453162.805748917,2453.162805748917
Haryana,Fatehabad,2012,42,14928415.390288444,14928.415390288445
Haryana,Fatehabad,2012,43,44311215.56079574,44311.21556079574
Haryana,Fatehabad,2012,44,129217780.7404729,129217.7807404729
Haryana,Fatehabad,2012,45,149368652.1763232,149368.6521763232
Haryana,Fatehabad,2012,46,62299005.15899637,62299.00515899638
Haryana,Fatehabad,2012,47,23653013.789272897,23653.013789272896
Haryana,Fatehabad,2012,48,1604053.3465689386,1604.0533465689387
Haryana,Fatehabad,2013,40,1661365.155538922,1661.365155538922
Haryana,Fatehabad,2013,41,8936087.842599249,8936.087842599249
Haryana,Fatehabad,2013,42,28804940.272298124,28804.940272298125
Haryana,Fatehabad,2013,43,64288188.458863586,64288.18845886359
Haryana,Fatehabad,2013,44,162538617.7054902,162538.6177054902
Haryana,Fatehabad,2013,45,168523194.20578313,168523.19420578313
Haryana,Fatehabad,2013,46,58811317.05679506,58811.31705679506
Haryana,Fatehabad,2013,47,6710003.128444817,6710.003128444817
Haryana,Fatehabad,2013,48,197365.4390708955,197.3654390708955
Haryana,Fatehabad,2014,40,13073.227314923995,13.073227314923995
Haryana,Fatehabad,2014,41,148006.600084715,148.006600084715
Haryana,Fatehabad,2014,42,965135.5498400284,965.1355498400284
Haryana,Fatehabad,2014,43,18361402.227059644,18361.402227059643
Haryana,Fatehabad,2014,44,93009459.62274002,93009.45962274002
Haryana,Fatehabad,2014,45,187634178.40263078,187634.1784026308
Haryana,Fatehabad,2014,46,83864326.41821013,83864.32641821014
Haryana,Fatehabad,2014,47,8239518.9537504,8239.5189537504
