state,district,year,dm_kg,dm_tonnes
Punjab,Shahid Bhagat Singh Nagar,2016,116226457.13077264,116226.45713077263
Punjab,Shahid Bhagat Singh Nagar,2017,44813324.51898354,44813.32451898354
Punjab,Shahid Bhagat Singh Nagar,2018,25802928.128263503,25802.928128263502
Punjab,Tarn Taran,2012,212239607.1559601,212239.6071559601
Punjab,Tarn Taran,2013,322890967.87231135,322890.96787231136
Punjab,Tarn Taran,2014,264904960.76186922,264904.9607618692
Punjab,Tarn Taran,2015,363801912.69837165,363801.9126983716
Punjab,Tarn Taran,2016,325025988.1811714,325025.9881811714
Punjab,Tarn Taran,2017,284830242.85483235,284830.2428548323
Punjab,Tarn Taran,2018,252528449.87701088,252528.4498770109
